x, y
-39.74874371859297, 1.015625
-39.246231155778894, 1.015625
-38.391959798994975, 1.015625
-37.58793969849246, 1.015625
-36.733668341708544, 1.015625
-35.82914572864322, 1.015625
-34.9748743718593, 1.015625
-33.969849246231156, 1.0078125
-32.814070351758794, 1.015625
-31.959798994974875, 1.015625
-31.05527638190955, 1.015625
-29.899497487437188, 1.0234375
-28.79396984924623, 1.015625
-27.8391959798995, 1.015625
-26.63316582914573, 1.0234375
-25.376884422110553, 1.0078125
-24.020100502512562, 1.015625
-22.160804020100503, 1.015625
-20.854271356783922, 1.015625
-19.69849246231156, 1.015625
-17.236180904522612, 1.046875
-17.587939698492463, 1.0234375
-18.040201005025125, 1.015625
-18.49246231155779, 1.015625
-18.99497487437186, 1.015625
-16.884422110552766, 1.1015625
-16.733668341708544, 1.1640625
-16.532663316582916, 1.234375
-16.381909547738694, 1.3046875
-16.28140703517588, 1.375
-16.180904522613066, 1.4375
-16.030150753768844, 1.5078125
-15.829145728643217, 1.5859375
-15.62814070351759, 1.65625
-15.376884422110553, 1.7265625
-15.075376884422111, 1.8046875
-14.723618090452263, 1.8671875
-14.371859296482413, 1.9140625
-14.07035175879397, 1.953125
-13.718592964824122, 1.9921875
-13.216080402010052, 2.0234375
-12.613065326633166, 2.0625
-12.06030150753769, 2.09375
-11.457286432160805, 2.125
-10.85427135678392, 2.140625
-10.201005025125628, 2.171875
-9.648241206030152, 2.1953125
-9.095477386934673, 2.2109375
-8.492462311557789, 2.2265625
-7.5376884422110555, 2.2578125
-6.78391959798995, 2.265625
-6.130653266331659, 2.2890625
-5.42713567839196, 2.3046875
-4.824120603015076, 2.3125
-4.371859296482413, 2.3125
-3.819095477386935, 2.3125
-3.3668341708542715, 2.3203125
-2.864321608040201, 2.3203125
-1.206030150753769, 2.34375
-1.5577889447236182, 2.328125
-1.8592964824120604, 2.328125
-2.21105527638191, 2.3203125
-2.562814070351759, 2.3203125
-0.8542713567839196, 2.359375
-0.5025125628140704, 2.3984375
0, 2.5
0.10050251256281408, 2.4375
0.4020100502512563, 2.421875
0.7537688442211056, 2.3984375
1.0552763819095479, 2.3984375
1.407035175879397, 2.4140625
-0.30150753768844224, 2.4453125
1.7587939698492463, 2.4453125
2.1105527638190957, 2.484375
2.512562814070352, 2.5078125
2.763819095477387, 2.546875
3.1155778894472363, 2.578125
3.4170854271356785, 2.625
3.819095477386935, 2.6640625
4.2211055276381915, 2.71875
4.773869346733669, 2.7890625
5.226130653266332, 2.8515625
5.778894472361809, 2.9296875
6.432160804020101, 3.015625
6.984924623115578, 3.0703125
7.386934673366834, 3.1328125
7.939698492462312, 3.1953125
8.391959798994975, 3.2578125
9.045226130653267, 3.34375
9.648241206030152, 3.4140625
10.100502512562814, 3.484375
10.603015075376884, 3.53125
11.00502512562814, 3.578125
11.407035175879397, 3.625
11.809045226130653, 3.671875
12.21105527638191, 3.71875
12.613065326633166, 3.7578125
12.964824120603016, 3.7890625
13.41708542713568, 3.84375
13.819095477386936, 3.875
14.321608040201006, 3.9296875
14.974874371859297, 3.9921875
15.527638190954775, 4.0390625
16.080402010050253, 4.0859375
16.582914572864322, 4.1171875
17.185929648241206, 4.1640625
17.68844221105528, 4.203125
18.241206030150753, 4.2421875
18.844221105527637, 4.28125
19.447236180904525, 4.3203125
20.201005025125628, 4.3671875
20.653266331658294, 4.40625
21.105527638190956, 4.421875
21.507537688442213, 4.4453125
22.06030150753769, 4.46875
22.663316582914575, 4.4921875
23.26633165829146, 4.515625
23.969849246231156, 4.5390625
24.47236180904523, 4.5703125
25.025125628140703, 4.5859375
25.527638190954775, 4.6015625
25.979899497487438, 4.625
26.532663316582916, 4.6328125
27.085427135678394, 4.6484375
27.638190954773872, 4.6640625
28.14070351758794, 4.6796875
28.69346733668342, 4.6953125
29.14572864321608, 4.703125
29.648241206030153, 4.7109375
