x, y
-39.8974358974359, 0.0016221198156682027
-39.33333333333333, 0.0016221198156682027
-38.92307692307692, 0.0016221198156682027
-38.41025641025641, 0.0016221198156682027
-37.94871794871795, 0.0016221198156682027
-37.38461538461539, 0.0016221198156682027
-36.87179487179487, 0.0016221198156682027
-36.256410256410255, 0.0016221198156682027
-35.794871794871796, 0.0016221198156682027
-35.230769230769226, 0.0016221198156682027
-34.61538461538461, 0.0016221198156682027
-33.38461538461539, 0.0016221198156682027
-32.46153846153846, 0.0016221198156682027
-31.69230769230769, 0.0016221198156682027
-30.717948717948715, 0.0016221198156682027
-29.74358974358974, 0.0016221198156682027
-28.82051282051282, 0.0016129032258064514
-27.794871794871796, 0.0016129032258064514
-26.717948717948715, 0.0016129032258064514
-25.69230769230769, 0.0016129032258064514
-24.564102564102562, 0.0016129032258064514
-23.17948717948718, 0.0016129032258064514
-22.153846153846153, 0.0016036866359447001
-20.923076923076923, 0.0016036866359447001
-20.153846153846153, 0.0016036866359447001
-17.743589743589745, 0.0015760368663594467
-18.102564102564102, 0.0016036866359447001
-17.538461538461537, 0.0015207373271889399
-17.435897435897434, 0.0014562211981566818
-17.384615384615383, 0.0013824884792626728
-17.28205128205128, 0.0013271889400921656
-17.23076923076923, 0.0012258064516129032
-17.17948717948718, 0.0011520737327188938
-18.564102564102562, 0.0016036866359447001
-19.076923076923077, 0.0016036866359447001
-19.64102564102564, 0.0016036866359447001
-17.128205128205128, 0.0010783410138248848
-17.076923076923077, 0.0009493087557603686
-17.025641025641026, 0.0008202764976958524
-16.974358974358974, 0.0006820276497695849
-16.923076923076923, 0.00056221198156682
-16.871794871794872, 0.0004239631336405529
-16.76923076923077, 0.00024884792626728115
-16.76923076923077, 0.00011981566820276493
-16.71794871794872, -0.00004608294930875598
-16.666666666666668, -0.00019354838709677432
-16.615384615384613, -0.00035023041474654395
-16.564102564102562, -0.0004884792626728112
-16.102564102564102, -0.0010967741935483872
-16.307692307692307, -0.001023041474654378
-16.358974358974358, -0.0009400921658986176
-16.41025641025641, -0.0008663594470046084
-16.46153846153846, -0.0007834101382488479
-16.46153846153846, -0.0007096774193548388
-16.46153846153846, -0.0006359447004608296
-16.564102564102562, -0.0005622119815668204
-15.794871794871794, -0.0010414746543778801
-15.58974358974359, -0.0009585253456221199
-15.384615384615383, -0.0008847926267281107
-15.179487179487179, -0.0008202764976958526
-14.87179487179487, -0.0007649769585253458
-14.461538461538462, -0.00071889400921659
-14.153846153846153, -0.0006728110599078343
-13.64102564102564, -0.0006451612903225806
-13.282051282051281, -0.0006082949308755762
-12.82051282051282, -0.0005898617511520738
-12.358974358974358, -0.0005806451612903228
-11.794871794871794, -0.0005622119815668204
-11.282051282051281, -0.0005529953917050691
-10.923076923076923, -0.0005437788018433181
-10.564102564102564, -0.0005437788018433181
-10.102564102564102, -0.0005253456221198157
-9.538461538461538, -0.0005253456221198157
-9.025641025641026, -0.0005161290322580646
-8.512820512820513, -0.0005161290322580646
-7.948717948717948, -0.0005069124423963134
-7.435897435897435, -0.0005069124423963134
-6.871794871794871, -0.0005069124423963134
-6.256410256410256, -0.0004884792626728112
-5.743589743589744, -0.0004884792626728112
-4.923076923076923, -0.0004884792626728112
-5.333333333333333, -0.0004884792626728112
-4.461538461538462, -0.0004884792626728112
-4.102564102564102, -0.0004976958525345623
-3.7435897435897436, -0.0004976958525345623
-3.282051282051282, -0.0005161290322580646
-2.923076923076923, -0.000534562211981567
-2.6153846153846154, -0.0005529953917050691
-2.3076923076923075, -0.0005806451612903228
-1.9487179487179487, -0.0006175115207373272
-1.6923076923076923, -0.000663594470046083
-1.435897435897436, -0.0007373271889400922
-1.2307692307692308, -0.0007926267281105992
