panel,omega_r,omega_i,lambda_re,lambda_im
0,-0.0,0.0031613602038100003,10.77341,0.0
0,-0.0,0.00305722092732,10.41852,0.0
0,-0.0,0.00305147828695,10.39895,0.0
0,-0.00055894935121,0.0030370087112400004,10.34964,1.90481
0,0.00055894935121,0.0030370087112400004,10.34964,-1.90481
0,-0.0,0.00280018421778,9.54258,0.0
0,-0.0005322139417000001,0.00273030417804,9.30444,1.8137
0,0.0005322139417000001,0.00273030417804,9.30444,-1.8137
0,-0.0,0.0027074803370600005,9.22666,0.0
0,-0.0009228367320800001,0.0026837438945700003,9.14577,3.14488
0,0.0009228367320800001,0.0026837438945700003,9.14577,-3.14488
0,-0.00030313629064,0.00257122100871,8.76231,1.03304
0,0.00030313629064,0.00257122100871,8.76231,-1.03304
0,-0.00051197825034,0.0024375586332100003,8.30681,1.74474
0,0.00051197825034,0.0024375586332100003,8.30681,-1.74474
0,-0.0,0.0022801304711200002,7.77032,0.0
0,-0.0,0.0021351207321500002,7.27615,0.0
0,-0.0,0.00210007213911,7.15671,0.0
0,-0.0008250445844200001,0.0020333407213,6.9293,2.81162
0,0.0008250445844200001,0.0020333407213,6.9293,-2.81162
0,-0.0005692784744100001,0.0017589264357400001,5.99414,1.94001
0,0.0005692784744100001,0.0017589264357400001,5.99414,-1.94001
0,-0.00110160979251,0.0017164831295000001,5.8495,3.75411
0,0.00110160979251,0.0017164831295000001,5.8495,-3.75411
0,-0.00024113514175000002,0.0016527506787100002,5.63231,0.82175
0,0.00024113514175000002,0.0016527506787100002,5.63231,-0.82175
0,-0.00099131412384,0.0016198852867100003,5.52031,3.37824
0,0.00099131412384,0.0016198852867100003,5.52031,-3.37824
0,-0.00019209234742,0.0016189668163800002,5.51718,0.65462
0,0.00019209234742,0.0016189668163800002,5.51718,-0.65462
0,-0.00014875991495,0.0015251302534000002,5.1974,0.50695
0,0.00014875991495,0.0015251302534000002,5.1974,-0.50695
0,-0.0,0.0014378579655900002,4.89999,0.0
0,-0.00099578909909,0.0013729781604900002,4.67889,3.39349
0,0.00099578909909,0.0013729781604900002,4.67889,-3.39349
0,-0.00072068816159,0.0013655834472900003,4.65369,2.45599
0,0.00072068816159,0.0013655834472900003,4.65369,-2.45599
0,-0.0,0.0012900458650700003,4.39627,0.0
0,-0.0,0.0012149631164,4.1404,0.0
0,-0.0,0.0011911445104300002,4.05923,0.0
0,-0.00020201065322000004,0.00116850553728,3.98208,0.68842
0,0.00020201065322000004,0.00116850553728,3.98208,-0.68842
0,-0.0007820437402800001,0.0011677660659600003,3.97956,2.66508
0,0.0007820437402800001,0.0011677660659600003,3.97956,-2.66508
0,-0.0,0.00111244950305,3.79105,0.0
0,-0.00061578300409,0.0010658217281500001,3.63215,2.09849
0,0.00061578300409,0.0010658217281500001,3.63215,-2.09849
0,-0.00016995809279,0.0010313570827000002,3.5147,0.57919
0,0.00016995809279,0.0010313570827000002,3.5147,-0.57919
0,-0.00030824509845000007,0.00099960970091,3.40651,1.05045
0,0.00030824509845000007,0.00099960970091,3.40651,-1.05045
0,-0.0,0.00093261712061,3.17821,0.0
